0,Note,Time,Delay,Channel
1,C E,0,0.631577,0
2,C,0.631577,0.631577,0
3,G C,1.263154,0.631577,0
4,G,1.894731,0.631577,0
5,A C F,2.526308,0.631577,0
6,A,3.157885,0.631577,0
7,G C,3.789462,1.263154,0
8,F,5.052616,0.631577,0
9,F,5.684193,0.631577,0
10,E C,6.31577,0.631577,0
11,E,6.947347,0.631577,0
12,G,7.578924,0.631577,0
13,D,8.210501,0.631577,0
14,C E,8.842078,1.263154,0
15,G C,10.105232,0.631577,0
16,G,10.736809,0.631577,0
17,F,11.368386,0.631577,0
18,F,11.999963,0.631577,0
19,E,12.63154,0.631577,0
20,E,13.263117,0.631577,0
21,G,13.894694,1.263154,0
22,G C,15.157848,0.631577,0
23,G,15.789425,0.631577,0
24,F,16.421002,0.631577,0
25,F,17.052579,0.631577,0
26,E,17.684156,0.631577,0
27,E,18.315733,0.631577,0
28,G,18.94731,1.263154,0
29,C E,20.210464,0.631577,0
30,C,20.842041,0.631577,0
31,G C,21.473618,0.631577,0
32,G,22.105195,0.631577,0
33,A C F,22.736772,0.631577,0
34,A,23.368349,0.631577,0
35,G C,23.999926,1.263154,0
36,F,25.26308,0.631577,0
37,F,25.894657,0.631577,0
38,E C,26.526234,0.631577,0
39,E,27.157811,0.631577,0
40,D,27.789388,0.631577,0
41,D,28.420965,0.631577,0
42,C E,29.052542,0,0
