0,Note,Time,Delay,Channel
1,.A,0,0.248963,12
2,E,0.248963,0.248963,12
3,.B,0.497926,0.248963,12
4,.A,1.991704,0.248963,12
5,E,2.2406669999999997,0.248963,12
6,.B,2.4896299999999996,0.248963,12
7,E,2.7385929999999994,0.248963,12
8,D,3.236518999999999,0.248963,13
9,B,3.485481999999999,0.248963,3
10,A E,3.9834079999999985,0.248963,12
11,E,4.232370999999998,0.248963,12
12,.B,4.481333999999998,0.248963,12
13,A,4.979259999999997,0.995852,12
14,E,5.9751119999999975,0.248963,4
15,E,6.224074999999997,0.248963,12
16,.B,6.473037999999997,0.248963,12
17,D,6.970963999999997,0.497926,12
18,E,7.468889999999997,0.497926,12
19,.A E,7.966815999999997,0.248963,6
20,E,8.215778999999998,0.248963,6
21,.B D,8.464741999999998,0.248963,12
22,D,8.713704999999997,0.248963,12
23,E .A,8.962667999999997,0.248963,6
24,E,9.211630999999997,0.248963,12
25,E D .A,9.460593999999997,0.248963,12
26,D .A,9.709556999999997,0.248963,8
27,E .A,9.958519999999998,0.248963,6
28,E,10.207482999999998,0.248963,6
29,.B,10.456445999999998,0.248963,6
30,E,10.705408999999998,0.248963,6
31,E,10.954371999999998,0.248963,6
32,D,11.203334999999997,0.248963,8
33,B,11.452297999999999,0.248963,3
34,A E ,11.950223999999999,0.248963,6
35,E,12.199187,0.248963,6
36,D .B,12.448150000000002,0.248963,12
37,D .B,12.697113000000002,0.248963,12
38,A D E ,12.946076000000003,0.248963,6
39,.A,13.444002000000005,0.248963,12
40,.A,13.692965000000006,0.248963,8
41,A D ,13.941928000000008,0.248963,6
42,D .A,14.190891000000008,0.7468889999999999,8
43,B E,14.937780000000007,0.248963,6
44,.B E,15.186743000000007,0.7468889999999999,8
45,.B D,15.933632000000006,0.248963,6
46,.B,16.182595000000006,0.248963,8
47,F,16.929484000000006,0.248963,12
48,F .B,17.178447000000006,0.248963,12
49,.B F,17.427410000000005,0.248963,6
50,.B,17.925336000000005,0.248963,6
51,.B,18.174299000000005,0.248963,8
52,.A,18.423262000000005,0.248963,12
53,.A,18.672225000000005,0.248963,8
54,E,18.921188000000004,0.248963,6
55,E,19.170151000000004,0.248963,8
56,.A,19.419114000000004,0.248963,12
57,.A,19.668077000000004,0.248963,8
58,D,19.917040000000004,0.248963,12
59,D .A,20.166003000000003,0.248963,6
60,D,20.414966000000003,0.248963,6
61,.B E,20.663929000000003,0.248963,6
62,.B D E,20.912892000000003,0.248963,6
63,D .A,21.161855000000003,0.248963,12
64,.A,21.410818000000003,0.248963,8
65,E,21.659781000000002,0.248963,12
66,E .A,21.908744000000002,0.7468889999999999,6
67,E,22.655633,0.248963,12
68,.A E,22.904596,0.248963,12
69,D .A,23.153559,0.248963,8
70,B D E,23.402522,0.248963,6
71,.B D,23.651485,0.248963,8
72,A E .B D,23.900448,0.248963,12
73,.A E D ,24.149411,0.248963,6
74,D .B .A,24.398374000000004,0.248963,6
75,D .B,24.647337000000004,0.248963,12
76,A D ,24.896300000000004,0.248963,6
77,D E,25.145263000000003,0.248963,12
78,E .A D,25.394226000000003,0.248963,12
79,.A D,25.643189000000003,0.248963,8
80,E .A,25.892152000000003,0.248963,6
81,E,26.141115000000003,0.248963,6
82,B,26.390078000000003,0.248963,6
83,^D,26.639041000000002,0.248963,6
84,A,27.385930000000002,0.497926,13
85,E .A,27.883856000000005,0.248963,6
86,E,28.132819000000005,0.7468889999999999,6
87,E .A,28.879708000000004,0.248963,6
88,E,29.128671000000004,0.248963,8
89,D .B,29.377634000000004,0.248963,12
90,D .B,29.626597000000004,0.248963,12
91,D,29.875560000000004,0.248963,6
92,.A,30.373486000000003,0.248963,12
93,.A,30.622449000000003,0.248963,8
94,D .A,30.871412000000003,0.248963,6
95,D .A,31.120375000000003,0.7468889999999999,8
96,.B E D,31.867264000000002,0.248963,6
97,.B E,32.116227,0.497926,8
98,.B,32.863116000000005,0.248963,12
99,.B,33.11207900000001,0.248963,8
100,F,33.36104200000001,0.248963,6
101,A,33.610005000000015,0.248963,12
102,F,33.85896800000002,0.248963,6
103,F .B,34.10793100000002,0.248963,12
104,.B,34.356894000000025,0.248963,12
105,B,34.60585700000003,0.248963,8
106,.B E,34.85482000000003,0.248963,6
107,.B,35.103783000000035,0.248963,8
108,.A,35.35274600000004,0.248963,12
109,.A,35.60170900000004,0.248963,8
110,D,35.850672000000046,0.248963,6
111,.A,36.09963500000005,0.248963,6
112,.A D,36.34859800000005,0.248963,6
113,.A,36.597561000000056,0.248963,8
114,D,36.84652400000006,0.248963,6
115,.B,37.84237600000007,0.248963,6
116,.B E,38.091339000000076,0.248963,6
117,.A,38.34030200000008,0.497926,6
118,.A,38.83822800000008,0.248963,6
119,.A,39.58511700000009,0.248963,12
120,E .A D .B,39.83408000000009,0.248963,6
121,D .B,40.083043000000096,0.248963,8
122,E,40.829932000000106,0.248963,6
123,E,41.0788950000001,0.248963,12
124,E,41.327858000000106,0.248963,6
125,.A,41.5768210000001,0.248963,12
126,.A,41.825784000000105,0.248963,12
127,.B E,42.07474700000011,0.248963,6
128,E .A,42.32371000000011,0.248963,6
129,E,42.572673000000115,0.248963,8
130,A ^E ,42.82163600000012,0.248963,6
131,.A,43.07059900000012,0.497926,8
132,.A,43.56852500000012,0.248963,12
133,.A D E,43.817488000000125,0.06224075,6
134,^E,43.879728750000126,0.18672224999999998,7
135,D .B,44.06645100000013,0.248963,8
136,D,44.31541400000013,0.248963,12
137,D,44.564377000000135,0.248963,6
138,^D E,44.81334000000014,0.248963,12
139,E .B,45.06230300000014,0.248963,12
140,.B E,45.311266000000145,0.248963,6
141,E,45.56022900000015,0.248963,12
142,E D .A,45.80919200000015,0.248963,6
143,D,46.058155000000156,0.248963,12
144,.B,46.805044000000166,0.248963,12
145,.B,47.05400700000017,0.248963,8
146,E,47.30297000000017,0.248963,12
147,E,47.551933000000176,0.248963,8
148,.A D,47.80089600000018,0.248963,6
149,.A D,48.04985900000018,0.248963,6
150,D,48.298822000000186,0.248963,6
151,E,48.54778500000018,0.248963,12
152,^E .A,48.796748000000186,0.248963,6
153,E,49.04571100000019,0.248963,8
154,D,49.29467400000019,0.248963,12
155,D,49.543637000000196,0.248963,8
156,^E D,49.7926000000002,0.06224075,6
157,E .B,49.8548407500002,0.18672224999999998,12
158,.A,50.041563000000195,0.06224075,6
159,E .B,50.103803750000196,0.18672224999999998,8
160,D,50.2905260000002,0.06224075,6
161,.A,50.3527667500002,0.248963,12
162,.A,50.601729750000196,0.18672224999999998,12
163,^E,50.7884520000002,0.06224075,6
164,.A,50.8506927500002,0.9336112499999999,8
165,^E,51.784304000000205,0.1244815,6
166,.A,51.90878550000021,0.248963,12
167,.A,52.15774850000021,0.248963,8
168,D,52.40671150000021,0.248963,12
169,D,52.65567450000022,0.1244815,8
170,.B,52.78015600000022,0.1244815,6
171,E .B D,52.90463750000022,0.248963,12
172,E .B D,53.15360050000022,0.248963,8
173,.A,53.40256350000023,0.248963,12
174,.A,53.65152650000023,0.1244815,12
175,E,53.77600800000023,0.1244815,6
176,.A,53.90048950000023,0.37344449999999996,8
177,D,54.27393400000023,0.497926,6
178,D,54.77186000000024,0.995852,6
179,^E,55.76771200000024,0.7468889999999999,6
180,E,57.261490000000244,0.1244815,6
181,E .A,57.385971500000245,0.248963,12
182,E .A .B,57.63493450000025,0.1244815,12
183,.A,57.75941600000025,0.1244815,6
184,.B,57.88389750000025,0.1244815,8
185,E,58.008379000000254,0.1244815,6
186,.A,58.132860500000255,0.1244815,12
187,.A,58.25734200000026,0.1244815,6
188,.A,58.38182350000026,0.37344449999999996,8
189,^D .A,58.755268000000264,0.497926,6
190,E,59.75112000000026,0.7468889999999999,6
191,F,60.498009000000266,0.248963,6
192,^E,60.74697200000027,0.497926,7
193,F,61.24489800000027,0.497926,6
194,^E,61.74282400000027,0.37344449999999996,6
195,E,62.116268500000274,0.248963,12
196,E,62.36523150000028,0.248963,12
197,.A,62.61419450000028,0.1244815,12
198,A,62.73867600000028,0.1244815,6
199,.A,62.863157500000284,0.248963,8
200,D .B,63.11212050000029,0.248963,12
201,D .B,63.36108350000029,0.37344449999999996,8
202,D,63.73452800000029,0.1244815,6
203,.A,63.85900950000029,0.1244815,12
204,.A,63.98349100000029,0.1244815,6
205,.A,64.10797250000029,0.06224075,8
206,D .A .B,64.17021325000029,0.06224075,12
207,D,64.23245400000029,0.18672224999999998,6
208,D .A .B,64.41917625000029,0.248963,8
209,D,64.6681392500003,0.06224075,12
210,^E,64.7303800000003,0.18672224999999998,6
211,D,64.9171022500003,0.248963,8
212,E,65.1660652500003,0.248963,12
213,E,65.4150282500003,0.248963,12
214,E,65.66399125000031,0.06224075,12
215,^E D,65.72623200000031,0.18672224999999998,6
216,.A,65.91295425000031,0.06224075,12
217,.A,65.97519500000031,0.18672224999999998,6
218,.A,66.16191725000031,0.06224075,8
219,D,66.22415800000032,0.497926,6
220,^E,66.72208400000031,0.995852,6
221,^E,67.71793600000031,0.43568524999999997,6
222,^E,68.15362125000031,0.43568524999999997,1
223,.B,68.58930650000032,0.1244815,12
224,.B,68.71378800000032,0.1244815,6
225,.B,68.83826950000032,0.248963,8
226,E,69.08723250000033,0.248963,12
227,E,69.33619550000033,0.37344449999999996,8
228,.G,69.70964000000033,0.995852,6
229,E,70.70549200000035,0.995852,6
230,.A,71.70134400000035,0.248963,6
231,E,71.95030700000035,0.18672224999999998,6
232,.A,72.13702925000035,0.06224075,12
233,.B,72.19927000000035,0.18672224999999998,6
234,.A,72.38599225000036,0.06224075,8
235,.A,72.88391825000036,0.248963,12
236,.A D,73.13288125000037,0.248963,12
237,.B D,73.38184425000037,0.248963,8
238,D,73.63080725000037,0.06224075,12
239,.A,73.69304800000037,0.18672224999999998,6
240,D,73.87977025000038,0.06224075,8
241,E,73.94201100000038,0.18672224999999998,6
242,.B E,74.12873325000038,0.06224075,12
243,.B,74.19097400000038,0.18672224999999998,6
244,.B E,74.37769625000038,0.06224075,12
245,.B,74.62665925000039,0.06224075,8
246,E,74.68890000000039,0.18672224999999998,6
247,D .B,74.87562225000039,0.248963,12
248,D .B,75.1245852500004,0.248963,8
249,D E .B,75.3735482500004,0.248963,12
250,D E .B,75.6225112500004,0.06224075,12
251,^C,75.6847520000004,0.18672224999999998,6
252,.G,75.9337150000004,0.18672224999999998,6
253,.B,76.1204372500004,0.06224075,12
254,C,76.18267800000041,0.18672224999999998,6
255,.B D E,76.36940025000041,0.248963,12
256,.A D E,76.61836325000041,0.06224075,8
257,C,76.68060400000041,0.68464825,6
258,.G E,77.36525225000041,0.248963,12
259,.G E D,77.61421525000041,0.06224075,12
260,C,77.67645600000041,0.18672224999999998,6
261,D,77.86317825000042,0.06224075,8
262,.G,77.92541900000042,0.248963,6
263,C,78.17438200000042,0.18672224999999998,6
264,E,78.36110425000042,0.06224075,12
265,D,78.42334500000042,0.18672224999999998,6
266,E,78.61006725000043,0.06224075,8
267,D,78.67230800000043,0.18672224999999998,6
268,D,78.85903025000043,0.248963,12
269,D,79.10799325000043,0.248963,8
270,.B D,79.35695625000044,0.248963,12
271,.B D,79.60591925000044,0.248963,8
272,.A,79.85488225000044,0.06224075,12
273,.G,79.91712300000044,0.18672224999999998,6
274,.A,80.10384525000045,0.06224075,12
275,C,80.16608600000045,0.18672224999999998,6
276,.A,80.35280825000045,0.31120375,8
277,C,80.66401200000045,0.995852,6
278,^E .A,81.65986400000047,0.995852,6
279,.B,82.65571600000048,0.06224075,6
280,^D,82.71795675000048,0.9336112499999999,7
281,F,83.65156800000048,0.995852,6
282,E,84.64742000000048,0.18672224999999998,6
283,.A,84.83414225000048,0.248963,12
284,.A,85.08310525000049,0.248963,8
285,A,85.33206825000049,0.248963,12
286,A,85.58103125000049,0.06224075,8
287,.A,85.6432720000005,0.18672224999999998,6
288,.B A,85.8299942500005,0.248963,12
289,.B A,86.0789572500005,0.248963,8
290,.A,86.3279202500005,0.248963,12
291,.A,86.5768832500005,0.06224075,12
292,.G,86.6391240000005,0.18672224999999998,6
293,.A E,86.82584625000051,0.248963,12
294,.A E,87.07480925000051,0.248963,8
295,E .B,87.32377225000052,0.248963,12
296,E .B,87.57273525000052,0.06224075,8
297,A F,87.63497600000052,0.248963,6
298,C,87.88393900000052,0.248963,6
299,F,88.13290200000053,0.497926,6
300,F,88.63082800000053,0.995852,6
301,G,89.62668000000053,0.248963,7
302,.G,89.87564300000054,0.248963,6
303,C,90.12460600000054,0.497926,6
304,G,90.62253200000053,0.18672224999999998,7
305,C,90.80925425000054,0.80912975,6
306,G,91.61838400000053,0.18672224999999998,7
307,.G,91.80510625000053,0.7468889999999999,6
308,.A,92.55199525000053,0.06224075,6
309,G,92.61423600000053,0.18672224999999998,7
310,.B,92.80095825000053,0.497926,6
311,.G,93.29888425000054,0.31120375,6
312,G,93.61008800000054,0.18672224999999998,7
313,.A E C,93.79681025000055,0.248963,6
314,.A E,94.04577325000055,0.248963,6
315,.B C,94.29473625000055,0.06224075,6
316,^E,94.35697700000055,0.18672224999999998,7
317,.B,94.54369925000056,0.06224075,8
318,^F G,94.60594000000056,0.18672224999999998,7
319,.B D C,94.79266225000056,0.248963,6
320,.B D,95.04162525000056,0.06224075,8
321,A,95.10386600000056,0.18672224999999998,7
322,^G,95.60179200000057,0.18672224999999998,7
323,.A D,95.78851425000057,0.248963,6
324,.A D,96.03747725000058,0.248963,8
325,.B,96.53540325000058,0.06224075,6
326,^G,96.59764400000059,0.68464825,7
327,.G,97.2822922500006,0.7468889999999999,6
328,.A,98.02918125000059,0.248963,12
329,.A,98.2781442500006,0.248963,12
330,.A,98.5271072500006,0.248963,8
331,D C,98.7760702500006,0.248963,6
332,D .A,99.0250332500006,0.248963,12
333,.A D C,99.27399625000061,0.248963,6
334,^G,99.58520000000061,0.18672224999999998,7
335,F,99.77192225000061,0.248963,6
336,^F .A D C,100.02088525000062,0.248963,6
337,.A D E F,100.26984825000062,0.248963,6
338,^E,100.51881125000062,0.248963,8
339,E,100.76777425000063,0.248963,6
340,B D E,101.01673725000063,0.248963,12
341,B D E,101.26570025000063,0.248963,8
342,A,101.51466325000064,0.06224075,12
343,^G,101.57690400000064,0.18672224999999998,7
344,A F,101.76362625000064,0.248963,6
