0,Note,Time,Delay,Channel
1,.A C,0,1.714286,2
2,.A C,1.714286,1.2857145,2
3,.A C E,3.428572,1.714286,2
4,.A E C ,5.142858,0.857143,2
5,E C,6.000001,0.4285715,2
6,C E,6.4285725000000005,0.4285715,2
7,.A,6.857144000000001,0.857143,0
8,.B C,7.7142870000000014,0.4285715,0
9,C,8.1428585,0.4285715,0
10,.A,8.571430000000001,0.4285715,0
11,.B,9.000001500000002,0.4285715,0
12,E,9.428573000000002,0.857143,0
13,.A,10.285716000000003,0.857143,0
14,E D,11.142859000000003,0.4285715,0
15,E,11.571430500000004,0.4285715,0
16,D,12.000002000000004,0.857143,0
17,.B,12.857145000000004,0.4285715,0
18,.A,13.285716500000005,0.4285715,0
19,.A,13.714288000000003,0.857143,0
20,.B C,14.571431000000004,0.4285715,0
21,C,15.000002500000004,0.4285715,0
22,.A,15.428574000000005,0.4285715,0
23,.B,15.857145500000005,0.4285715,0
24,E,16.285717000000005,0.857143,0
25,.A,17.142860000000006,0.857143,0
26,E,18.000003000000007,0.4285715,0
27,D E,18.428574500000007,0.4285715,0
28,F D,18.857146000000007,0.4285715,0
29,F,19.285717500000008,0.4285715,0
30,E,19.714289000000008,0.857143,0
31,.A C D,20.57143200000001,0.4285715,5
32,E .G,21.00000350000001,0.4285715,5
33,.B C,21.42857500000001,0.321428625,0
34,C .A,21.714847369140635,0.107142875,5
35,C,21.85714650000001,0.4285715,0
36,F .A D .G ,22.28571800000001,0.4285715,5
37,.B,22.71428950000001,0.4285715,0
38,E,23.14286100000001,0.857143,0
39,.G E C D,24.00000400000001,0.4285715,5
40,E .G,24.42857550000001,0.107142875,5
41,.G,24.570874630859386,0.321428625,0
42,E D,24.857147000000012,0.321428625,0
43,.A C,25.143419369140634,0.107142875,5
44,.A E,25.28571850000001,0.4285715,5
45,E D,25.71429000000001,0.4285715,0
46,.A,26.14286150000001,0.4285715,2
47,.A,26.57143300000001,0.4285715,0
48,.A,27.00000450000001,0.4285715,0
49,E .B C .A,27.42857600000001,0.4285715,0
50,.A,27.85714750000001,0.4285715,2
51,.A C,28.28571900000001,0.4285715,0
52,.G C,28.71429050000001,0.4285715,0
53,E .G .A,29.14286200000001,0.4285715,0
54,.A,29.571433500000012,0.4285715,2
55,.A,30.000005000000012,0.4285715,0
56,E,30.428576500000013,0.4285715,2
57,E .A,30.857148000000013,0.4285715,0
58,D .G .B,31.285719500000013,0.4285715,0
59,C E,31.714291000000014,0.4285715,0
60,.B,32.142862500000014,0.4285715,2
61,E C,32.57143400000001,0.4285715,0
62,.A D,33.00000550000001,0.4285715,0
63,.A,33.428577000000004,0.4285715,0
64,.A,33.8571485,0.4285715,0
65,.A C D,34.28572,0.4285715,5
66,.A E,34.714291499999995,0.4285715,5
67,.B C,35.14286299999999,0.321428625,0
68,C .A,35.42913536914062,0.107142875,5
69,C,35.571434499999995,0.4285715,0
70,F .A D .G ,36.000006,0.4285715,5
71,.B,36.428577499999996,0.4285715,0
72,E,36.85714899999999,0.857143,0
73,.G E C D,37.71429199999999,0.4285715,5
74,E .G,38.14286349999999,0.107142875,5
75,.G,38.28516263085937,0.321428625,0
76,E D,38.571434999999994,0.321428625,0
77,.A C,38.85770736914063,0.107142875,5
78,.A E,39.000006500000005,0.4285715,5
79,E D,39.42857800000001,0.4285715,0
80,F,39.857149500000006,0.4285715,2
81,.B,40.285721,0.107142875,0
82,F,40.42802013085938,0.321428625,2
83,.A,40.714292500000006,0.321428625,0
84,F,41.00056486914063,0.107142875,2
85,E D .A,41.14286400000001,0.4285715,0
86,C,41.571435500000014,0.4285715,2
87,.B C,42.00000700000001,0.107142875,0
88,C,42.14230613085939,0.321428625,2
89,C,42.428578500000015,0.321428625,0
90,C E,42.71485086914064,0.107142875,2
91,E .G,42.85715000000002,0.4285715,2
92,.A C,43.28572150000002,0.4285715,0
93,E,43.71429300000002,0.107142875,0
