0,Note,Time,Delay,Channel
1,.G C E ,0,1.7999999999999998,0
2,.A D F ,1.7999999999999998,0.6,0
3,.A C E,2.4,2.4,0
4,.A C E,4.8,2.4,0
5,.A C E,7.199999999999999,2.4,0
6,.G C E ,9.6,1.7999999999999998,0
7,.A D F ,11.399999999999999,0.6,0
8,.A C E,11.999999999999998,2.4,0
9,.A C E,14.399999999999999,2.4,0
10,.A C E,16.799999999999997,2.4,0
11,F .A D,19.199999999999996,1.2,0
12,F .A D,20.399999999999995,1.2,0
13,E .A C ,21.599999999999994,2.4,0
14,F .A D,23.999999999999993,1.2,0
15,F .A D,25.199999999999992,1.2,0
16,.G D,26.39999999999999,2.4,0
17,.G C E ,28.79999999999999,2.4,0
18,.A D F ,31.19999999999999,2.4,0
19,.A C E,33.59999999999999,2.4,0
20,.A C F,35.999999999999986,0.0,0
