0,Note,Time,Delay,Channel
1,C E,0,0.631577,0
2,C,0.6315769999999999,0.631577,0
3,G C,1.2631539999999999,0.631577,0
4,G,1.8947309999999997,0.631577,0
5,A C F,2.5263079999999998,0.631577,0
6,A,3.157885,0.631577,0
7,G C,3.789462,1.263154,0
8,F .A,5.0526159999999996,0.631577,0
9,F,5.684192999999999,0.631577,0
10,E .G C,6.315769999999999,0.631577,0
11,E,6.947346999999999,0.631577,0
12,D .G,7.578923999999999,0.631577,0
13,D,8.210500999999999,0.631577,0
14,C E,8.842077999999999,1.263154,0
15,G C,10.105231999999999,0.631577,0
16,G,10.736809,0.631577,0
17,F .A,11.368386,0.631577,0
18,F,11.999963,0.631577,0
19,E .G,12.63154,0.631577,0
20,E,13.263117,0.631577,0
21,D .G,13.894694,1.263154,0
22,G C,15.157848,0.631577,0
23,G,15.789425,0.631577,0
24,F .A,16.421001999999998,0.631577,0
25,F,17.052578999999998,0.631577,0
26,E .G,17.684155999999998,0.631577,0
27,E,18.315732999999998,0.631577,0
28,D .G,18.947309999999998,1.263154,0
29,C E,20.210463999999998,0.631577,0
30,C,20.842041,0.631577,0
31,G C,21.473618,0.631577,0
32,G,22.105195,0.631577,0
33,A C F,22.736772,0.631577,0
34,A,23.368349,0.631577,0
35,G C,23.999926,1.263154,0
36,F .A,25.26308,0.631577,0
37,F,25.894657,0.631577,0
38,E .G C,26.526234,0.631577,0
39,E,27.157811,0.631577,0
40,D .G,27.789388,0.631577,0
41,D,28.420965,0.631577,0
42,C E,29.052542,0.0,0
