0,Note,Time,Delay,Channel
1,E C,0,0.6,0
2,D .G,0.6,0.6,0
3,C E,1.2,0.6,0
4,D .G,1.8,0.6,0
5,E C,2.4000000000000004,0.6,0
6,E .G,3.0000000000000004,0.6,0
7,E,3.6000000000000005,0.6,0
8,.G,4.2,0.6,0
9,D .B,4.8,0.6,0
10,D .G,5.3999999999999995,0.6,0
11,D F,5.999999999999999,0.6,0
12,.G,6.599999999999999,0.6,0
13,E C,7.199999999999998,0.6,0
14,G,7.799999999999998,0.6,0
15,G E,8.399999999999999,0.6,0
16,.G,8.999999999999998,0.6,0
17,E C,9.599999999999998,0.6,0
18,D .G,10.199999999999998,0.6,0
19,C E,10.799999999999997,0.6,0
20,D .G,11.399999999999997,0.6,0
21,E C,11.999999999999996,0.6,0
22,E .G,12.599999999999996,0.6,0
23,E,13.199999999999996,0.6,0
24,E .G,13.799999999999995,0.6,0
25,D .B,14.399999999999995,0.6,0
26,D .G,14.999999999999995,0.6,0
27,E F,15.599999999999994,0.6,0
28,D .G,16.199999999999996,0.6,0
29,C,16.799999999999997,0.6,0
30,.G,17.4,0.6,0
31,C,18.0,0.0,0
