0,Note,Time,Delay,Channel
1,D .G,0,0.25,0
2,.G,0.25,0.25,0
3,C,0.5,0.25,0
4,E C,0.75,0.25,0
5,.G,1.0,0.25,0
6,C,1.25,0.25,0
7,F C,1.5,0.25,0
8,.G,1.75,0.25,0
9,D .G,2.0,0.25,0
10,.G,2.25,0.25,0
11,C,2.5,0.25,0
12,E C,2.75,0.25,0
13,.G,3.0,0.25,0
14,C,3.25,0.25,0
15,F C,3.5,0.25,0
16,.G,3.75,0.25,0
17,D .G,4.0,0.25,0
18,.G,4.25,0.25,0
19,C,4.5,0.25,0
20,E C,4.75,0.25,0
21,.G,5.0,0.25,0
22,C,5.25,0.25,0
23,F C,5.5,0.25,0
24,.G,5.75,0.25,0
25,D .G,6.0,0.25,0
26,.G,6.25,0.25,0
27,C,6.5,0.25,0
28,E C,6.75,0.25,0
29,.G,7.0,0.25,0
30,C,7.25,0.25,0
31,F C,7.5,0.25,0
32,.G,7.75,0.25,0
33,E,8.0,0.375,0
34,C,8.375,0.375,0
35,C,8.75,0.25,0
36,C,9.0,0.25,0
37,.G,9.25,0.25,0
38,C,9.5,0.25,0
39,E,9.75,0.25,0
40,D .G C,10.0,0.5,0
41,E,10.5,0.25,0
42,.G,10.75,0.75,0
43,.G,11.5,0.5,0
44,C,12.0,0.5,0
45,C,12.5,0.25,0
46,C,12.75,0.25,0
47,C,13.0,0.25,0
48,.G,13.25,0.25,0
49,C,13.5,0.25,0
50,E,13.75,0.25,0
51,D .G .B,14.0,0.75,0
52,.G,14.75,0.75,0
53,.G,15.5,0.5,0
54,.B,16.0,0.5,0
55,C,16.5,0.25,0
56,C,16.75,0.25,0
57,C,17.0,0.25,0
58,.G,17.25,0.25,0
59,C,17.5,0.25,0
60,E,17.75,0.25,0
61,F .A,18.0,0.25,0
62,E,18.25,0.25,0
63,C,18.5,0.75,0
64,.G,19.25,0.25,0
65,C,19.5,0.25,0
66,E,19.75,0.25,0
67,F .A E,20.0,0.25,0
68,E,20.25,0.25,0
69,C,20.5,0.25,0
70,C,20.75,0.25,0
71,C,21.0,0.25,0
72,.G,21.25,0.25,0
73,C,21.5,0.25,0
74,E,21.75,0.25,0
75,.G D,22.0,0.75,0
76,D,22.75,0.75,0
77,D,23.5,0.5,0
78,.G,24.0,0.75,0
79,.G,24.75,0.25,0
80,.G,25.0,0.25,0
81,F,25.25,0.25,0
82,E,25.5,0.25,0
83,F,25.75,0.25,0
84,.G C F,26.0,0.5,0
85,C,26.5,0.5,0
86,F .A C,27.0,0.5,0
87,.G,27.5,0.25,0
88,C,27.75,0.25,0
89,D E .G C,28.0,0.5,0
90,E,28.5,0.25,0
91,C,28.75,0.25,0
92,E .G C,29.0,0.5,0
93,D,29.5,0.5,0
94,E .B,30.0,0.5,0
95,D,30.5,0.25,0
96,C,30.75,0.25,0
97,D E .B,31.0,0.5,0
