0,Note,Time,Delay,Channel
1,.G E,0,0.25,0
2,.G E,0.25,0.25,0
3,.G E,0.5,0.25,0
4,.G E,0.75,0.25,0
5,.G E,1.0,0.25,0
6,.G E,1.25,0.25,0
7,.G E,1.5,0.25,0
8,.G E,1.75,0.25,0
9,.G D,2.0,0.25,0
10,.G D,2.25,0.25,0
11,.G D,2.5,0.25,0
12,.G D,2.75,0.25,0
13,.G D,3.0,0.25,0
14,.G D,3.25,0.25,0
15,.G D,3.5,0.25,0
16,.G D,3.75,0.25,0
17,.A D,4.0,0.25,0
18,.A D,4.25,0.25,0
19,.A D,4.5,0.25,0
20,.A D,4.75,0.25,0
21,.A D,5.0,0.25,0
22,.A D,5.25,0.25,0
23,.A D,5.5,0.25,0
24,.A D,5.75,0.25,0
25,.G C E,6.0,0.25,0
26,.G C E,6.25,0.25,0
27,.G C E,6.5,0.25,0
28,.G C E,6.75,0.25,0
29,.G C E,7.0,0.25,0
30,.G C E,7.25,0.25,0
31,.G C E,7.5,0.25,0
32,.G C E,7.75,0.25,0
33,.G E,8.0,0.25,0
34,.G E,8.25,0.25,0
35,.G E,8.5,0.25,0
36,.G E,8.75,0.25,0
37,.G E,9.0,0.25,0
38,.G E,9.25,0.25,0
39,.G E,9.5,0.25,0
40,.G D,9.75,0.25,0
41,.G D,10.0,0.25,0
42,.G D,10.25,0.25,0
43,.G D,10.5,0.25,0
44,.G D,10.75,0.25,0
45,.G D,11.0,0.25,0
46,.G D,11.25,0.25,0
47,.G D,11.5,0.25,0
48,.A D,11.75,0.25,0
49,.A D,12.0,0.25,0
50,.A D,12.25,0.25,0
51,.A D,12.5,0.25,0
52,.A D,12.75,0.25,0
53,.A D,13.0,0.25,0
54,.A D,13.25,0.25,0
55,.A D,13.5,0.25,0
56,.G C E,13.75,0.25,0
57,.G C E,14.0,0.25,0
58,.G C E,14.25,0.25,0
59,.G C E,14.5,0.25,0
60,.G C E,14.75,0.25,0
61,.G C E,15.0,0.25,0
62,.G C E,15.25,0.25,0
63,.G C E,15.5,0.25,0
64,.G C E,15.75,0.25,0
65,.G C E,16.0,0.25,0
66,.G C E,16.25,0.25,0
67,.G C E,16.5,0.25,0
68,.G C E,16.75,0.25,0
69,.G C E,17.0,0.25,0
70,.G C E,17.25,0.25,0
71,.G C E,17.5,0.25,0
72,.G E,17.75,0.25,0
73,.G E,18.0,0.25,0
74,.G E,18.25,0.25,0
75,.G E,18.5,0.25,0
76,.G E,18.75,0.25,0
77,.G E,19.0,0.25,0
78,.G E,19.25,0.25,0
79,.G E,19.5,0.25,0
80,.G D,19.75,0.25,0
81,.G D,20.0,0.25,0
82,.G D,20.25,0.25,0
83,.G D,20.5,0.25,0
84,.G D,20.75,0.25,0
85,.G D,21.0,0.25,0
86,.G D,21.25,0.25,0
87,.G D,21.5,0.25,0
88,E .G C,21.75,0.25,0
89,E .G C,22.0,0.25,0
90,E .G C,22.25,0.25,0
91,E .G C,22.5,0.25,0
92,E .G C,22.75,0.25,0
93,E .G C,23.0,0.25,0
94,E .G C,23.25,0.25,0
95,E .G C,23.5,0.25,0
96,.G C E,23.75,0.25,0
97,.G C E,24.0,0.25,0
98,.G C E,24.25,0.25,0
99,.G C E,24.5,0.25,0
100,.G C E,24.75,0.25,0
101,.G C E,25.0,0.25,0
102,.G C E,25.25,0.25,0
103,.G C E,25.5,0.25,0
104,.G E,25.75,0.25,0
105,.G E,26.0,0.25,0
106,.G E,26.25,0.25,0
107,.G E,26.5,0.25,0
108,.G E,26.75,0.25,0
109,.G E,27.0,0.25,0
110,.G E,27.25,0.25,0
111,.G E,27.5,0.25,0
112,.G D,27.75,0.25,0
113,.G D,28.0,0.25,0
114,.G D,28.25,0.25,0
115,.G D,28.5,0.25,0
116,.G D,28.75,0.25,0
117,.G D,29.0,0.25,0
118,.G D,29.25,0.25,0
119,.G D,29.5,0.25,0
120,E .G C,29.75,0.25,0
121,E .G C,30.0,0.25,0
122,E .G C,30.25,0.25,0
123,E .G C,30.5,0.25,0
124,E .G C,30.75,0.25,0
125,E .G C,31.0,0.25,0
126,E .G C,31.25,0.25,0
127,E .G C,31.5,0.25,0
128,D .G .B ,31.75,2.0,0
129,D .A,33.75,2.0,0
130,E .G .B,35.75,2.0,0
131,C E .G,37.75,2.0,0
132,D .G .B ,39.75,2.0,0
133,D .A,41.75,2.0,0
134,E .G .B,43.75,2.0,0
135,C E .G,45.75,0.0,0
