0,Note,Time,Delay,Channel
1,.G,0,0.375,0
2,C,0.375,0.375,0
3,C,0.75,0.375,0
4,C,1.125,0.1875,0
5,C,1.3125,0.1875,0
6,.G,1.5,0.375,0
7,.A,1.875,0.375,0
8,.A,2.25,0.375,0
9,.G,2.625,0.375,0
10,.G,3.0,0.375,0
11,C,3.375,0.375,0
12,C,3.75,0.375,0
13,D,4.125,0.375,0
14,D,4.5,0.375,0
15,E,4.875,0.75,0
16,C,5.625,0.75,0
17,E C,6.375,0.75,0
18,E C,7.125,0.75,0
19,F .A,7.875,0.375,0
20,F .A,8.25,0.375,0
21,F .A,8.625,0.75,0
22,D .B,9.375,0.75,0
23,D .B,10.125,0.75,0
24,E C,10.875,0.375,0
25,E C,11.25,0.375,0
26,E C,11.625,0.75,0
27,C .A,12.375,0.75,0
28,C .A,13.125,0.75,0
29,D .B,13.875,0.375,0
30,D .B,14.25,0.375,0
31,D .B,14.625,0.375,0
32,C,15.0,0.375,0
33,.B,15.375,0.375,0
34,.G,15.75,0.375,0
35,.A F,16.125,0.375,0
36,.B,16.5,Delay,0
37,Note C E,16.875,0.75,0
38,C E,17.625,0.0,0
