0,Note,Time,Delay,Channel
1,D,0,0.25,5
2,C,0.25,0.25,3
3,C,0.5,0.25,3
4,D,0.75,0.25,3
5,C E,1.0,0.5,5
6,.G,1.5,0.5,3
7,E,2.0,0.25,5
8,C,2.25,0.25,3
9,C,2.5,0.25,3
10,D,2.75,0.25,3
11,C D,3.0,0.25,5
12,E,3.25,0.125,9
13,F,3.375,0.125,9
14,.G F,3.5,0.25,9
15,F,3.75,0.125,9
16,E,3.875,0.125,9
17,E C .G,4.0,0.25,1
18,C,4.25,0.25,3
19,C,4.5,0.25,3
20,D,4.75,0.25,3
21,C,5.0,0.5,3
22,.G,5.5,0.75,3
23,C,6.25,0.25,3
24,.G C D,6.5,0.25,9
25,D,6.75,0.25,3
26,D C,7.0,0.25,3
27,E,7.25,0.125,9
28,F,7.375,0.125,9
29,F .G,7.5,0.25,9
30,F,7.75,0.125,9
31,E,7.875,0.125,9
32,.G E,8.0,0.25,1
33,C,8.25,0.25,3
34,C,8.5,0.25,3
35,D,8.75,0.25,3
36,C,9.0,0.5,3
37,C .G,9.5,0.25,3
38,D,9.75,0.25,0
39,E,10.0,0.25,1
40,C,10.25,0.25,3
41,E C,10.5,0.25,3
42,D,10.75,0.25,3
43,C,11.0,0.25,3
44,E,11.25,0.125,9
45,F,11.375,0.125,9
46,.B D F,11.5,0.25,9
47,F,11.75,0.125,9
48,E,11.875,0.125,9
49,C .G E,12.0,0.25,1
50,C,12.25,0.25,3
51,C,12.5,0.25,3
52,C D,12.75,0.25,3
53,C,13.0,0.5,3
54,D .G,13.5,0.25,3
55,E,13.75,0.25,0
56,C .G E,14.0,0.25,5
57,C,14.25,0.25,3
58,C,14.5,0.25,3
59,D F,14.75,0.25,5
60,C,15.0,0.25,3
61,E,15.25,0.125,9
62,F,15.375,0.125,9
63,.G D F E,15.5,0.25,5
64,F,15.75,0.125,9
65,E,15.875,0.125,9
66,F C .A,16.0,0.25,1
67,F,16.25,0.25,3
68,F,16.5,0.25,3
69,F .G,16.75,0.25,3
70,F,17.0,0.5,3
71,C,17.5,0.25,3
72,.A,17.75,0.25,0
73,C,18.0,0.25,1
74,.A F,18.25,0.25,3
75,C F,18.5,0.25,3
76,.G,18.75,0.25,3
77,F,19.0,0.25,3
78,F E,19.25,0.125,9
79,F,19.375,0.125,9
80,C F,19.5,0.25,9
81,.G F,19.75,0.125,9
82,E,19.875,0.125,9
83,F C .G E,20.0,0.25,9
84,C,20.25,0.25,3
85,E C,20.5,0.25,3
86,D F,20.75,0.25,9
87,C,21.0,0.5,3
88,.G E,21.5,0.5,9
89,D,22.0,0.25,1
90,C,22.25,0.25,3
91,C,22.5,0.25,3
92,D,22.75,0.25,3
93,F C,23.0,0.25,3
94,E,23.25,0.125,9
95,F,23.375,0.125,9
96,.G E F,23.5,0.25,9
97,.G E F,23.75,0.125,9
98,E,23.875,0.125,9
99,.A D,24.0,0.25,1
100,.B,24.25,0.25,3
