0,Note,Time,Delay,Channel
1,C E,0,0.15,0
2,G,0.15,0.15,4
3,^C,0.3,0.15,4
4,^E,0.45,0.3,4
5,^E,0.75,0.3,4
6,^C E,1.05,0.15,4
7,^D F,1.2,0.3,4
8,^F A,1.5,0.3,4
9,^E G,1.8,0.3,4
10,.G ^C E ,2.1,0.3,0
11,C,2.4,0.15,0
12,E,2.5500000000000003,0.15,4
13,G,2.7000000000000006,0.15,4
14,^C E,2.850000000000001,0.3,4
15,^C E,3.150000000000001,0.3,4
16,D,3.4500000000000006,0.15,4
17,B G,3.600000000000001,0.075,4
18,^D,3.675000000000001,0.075,5
19,^E,3.7500000000000013,0.15,5
20,^D F,3.9000000000000012,0.15,4
21,^C,4.050000000000002,0.15,5
22,^C E,4.200000000000002,0.15,4
23,^C,4.350000000000002,0.15,5
24,^G,4.500000000000003,0.15,5
25,^E,4.650000000000003,0.15,5
26,C E,4.800000000000003,0.15,0
27,G,4.950000000000004,0.15,4
28,^C,5.100000000000004,0.15,4
29,^E,5.250000000000004,0.3,4
30,^E,5.550000000000005,0.3,4
31,^C E,5.850000000000006,0.15,4
32,^D F,6.000000000000006,0.3,4
33,^F A,6.300000000000007,0.3,4
34,^E G,6.600000000000008,0.3,4
35,.G ^C E ,6.900000000000008,0.3,0
36,C,7.200000000000009,0.15,0
37,E,7.350000000000009,0.15,4
38,G,7.50000000000001,0.15,4
39,^C E,7.65000000000001,0.3,4
40,^C E,7.950000000000011,0.3,4
41,D,8.25000000000001,0.15,4
42,B G,8.40000000000001,0.3,4
43,.G ^D F ,8.70000000000001,0.3,0
44,^C,9.000000000000009,0.075,4
45,E ^D,9.075000000000008,0.075,4
46,^C,9.150000000000007,0.075,4
47,E ^D,9.225000000000007,0.075,4
48,C,9.300000000000006,0.075,0
49,E ^D,9.375000000000005,0.075,4
50,^C,9.450000000000005,0.15,4
51,C E,9.600000000000003,0.22499999999999998,0
52,G ^E ^C ,9.825000000000001,0.09375,4
53,E ^C ^G ,9.92490234375,0.056249999999999994,0
54,^C G E,9.975,0.15,5
55,.G,10.124999999999998,0.09375,0
56,^C,10.224902343749998,0.056249999999999994,5
57,D .B,10.274999999999997,0.075,4
58,.G ^E ^C ,10.349999999999996,0.16874999999999998,0
59,^C,10.524902343749995,0.13125,5
60,B,10.649999999999993,0.075,5
61,D .B,10.724999999999993,0.22499999999999998,4
62,.G ^D,10.949999999999992,0.075,0
63,B ^G ^D ,11.024999999999991,0.22499999999999998,4
64,^C,11.24999999999999,0.075,5
65,E C,11.324999999999989,0.22499999999999998,4
66,C G ^E ,11.549999999999988,0.075,0
67,E C,11.624999999999988,0.22499999999999998,4
68,C,11.849999999999985,0.075,0
69,E C,11.924999999999985,0.15,4
70,G E,12.074999999999985,0.075,4
71,E ^C ^G ,12.149999999999984,0.075,4
72,^C G,12.224999999999984,0.09375,4
73,E ^C ^G ,12.324902343749983,0.056249999999999994,0
74,G ^E ^C ,12.374999999999982,0.24375,4
75,G,12.624902343749982,0.056249999999999994,5
76,^E,12.674999999999981,0.15,4
77,.G ^E ^C ,12.82499999999998,0.09375,0
78,G,12.924902343749979,0.056249999999999994,5
79,^E,12.974999999999978,0.075,4
80,D,13.049999999999978,0.075,5
81,^D B,13.124999999999977,0.22499999999999998,4
82,.G B ^D ,13.349999999999977,0.075,0
83,G D,13.424999999999976,0.22499999999999998,4
84,E,13.649999999999975,0.075,5
85,E C,13.724999999999975,0.22499999999999998,4
86,^C,13.949999999999974,0.075,4
87,C,14.024999999999974,0.22499999999999998,0
88,C,14.249999999999973,0.075,0
89,E C,14.324999999999973,0.3,4
90,G ^C ^E ,14.624999999999973,0.15,4
91,E ^C ^G ,14.774999999999972,0.24375,0
92,^C,15.02490234374997,0.056249999999999994,5
93,.G D,15.074999999999969,0.15,0
94,^C,15.22499999999997,0.22499999999999998,4
95,.G,15.449999999999969,0.075,0
96,B D ,15.524999999999968,0.22499999999999998,4
97,.G,15.749999999999966,0.075,0
98,^D B .B,15.824999999999966,0.22499999999999998,4
99,^C,16.049999999999965,0.075,5
100,C E,16.124999999999964,0.22499999999999998,0
101,^G,16.349999999999962,0.075,4
102,C G E ,16.42499999999996,0.22499999999999998,0
103,C,16.64999999999996,0.075,0
104,E C,16.72499999999996,0.15,4
105,G E,16.874999999999957,0.075,4
106,E,16.949999999999957,0.075,5
107,^E G,17.024999999999956,0.09375,4
108,G,17.124902343749955,0.056249999999999994,5
109,E ^C ^G ,17.174999999999955,0.24375,0
110,G,17.424902343749952,0.056249999999999994,5
111,^E,17.47499999999995,0.075,4
112,^E,17.54999999999995,0.075,4
113,.G,17.62499999999995,0.09375,0
114,G,17.72490234374995,0.056249999999999994,5
115,^E,17.77499999999995,0.15,4
116,D B ,17.924999999999947,0.22499999999999998,4
117,.G B ^D ,18.149999999999945,0.075,0
118,^D B,18.224999999999945,0.22499999999999998,4
119,E,18.449999999999942,0.075,5
120,^C E,18.52499999999994,0.22499999999999998,4
121,C ^G ^E ,18.74999999999994,0.3,0
122,F,19.049999999999937,0.075,0
123,A,19.124999999999936,0.15,4
124,^C,19.274999999999935,0.075,4
125,A ^C ^F ,19.349999999999934,0.075,4
126,^F,19.424999999999933,0.09375,4
127,A ^C ^F ,19.524902343749932,0.056249999999999994,4
128,.A ^C ^F ,19.574999999999932,0.3,0
129,^C A,19.87499999999993,0.075,4
130,C,19.94999999999993,0.075,0
131,A ^F ^C ,20.024999999999928,0.09375,4
132,A,20.124902343749927,0.20625,5
133,G ^E ,20.324999999999925,0.3,4
134,C G ^E ^E,20.624999999999922,0.09375,0
135,^E G,20.72490234374992,0.13125,4
136,G,20.84999999999992,0.075,5
137,^C G,20.92499999999992,0.22499999999999998,4
138,C G ^E ,21.149999999999917,0.075,0
139,^C,21.224999999999916,0.22499999999999998,4
140,.G,21.449999999999914,0.075,0
141,D G,21.524999999999913,0.15,4
142,G B,21.674999999999912,0.075,4
143,G B ^D ^D,21.74999999999991,0.075,4
144,^D B,21.82499999999991,0.09375,5
145,G ^D B ^D,21.92490234374991,0.056249999999999994,4
146,.B ^D ^G ,21.97499999999991,0.3,0
147,^D,22.274999999999906,0.075,4
148,D B G ,22.349999999999905,0.16874999999999998,0
149,^C,22.524902343749904,0.13125,5
150,^D,22.649999999999903,0.075,5
151,^E,22.724999999999902,0.22499999999999998,5
152,C G ^E ,22.949999999999903,0.075,0
153,^D,23.024999999999903,0.09375,4
154,^E G,23.124902343749902,0.20625,4
155,^C,23.3249999999999,0.22499999999999998,5
156,.G ^C ^E ,23.5499999999999,0.075,0
157,^C G,23.6249999999999,0.3,4
158,F A ^C ,23.924999999999898,0.15,0
159,^G B,24.074999999999896,0.075,4
160,A ^C ^F ,24.149999999999896,0.075,4
161,A ^F,24.224999999999895,0.09375,5
162,A ^C ^F ,24.324902343749894,0.056249999999999994,4
163,.A ^C ^E ^G ^E,24.374999999999893,0.15,0
164,^D,24.524999999999892,0.09375,4
165,^C,24.62490234374989,0.056249999999999994,5
166,^C,24.67499999999989,0.15,4
167,C ^F A B ^D B,24.82499999999989,0.09375,0
168,A,24.92490234374989,0.056249999999999994,5
169,A ^C,24.974999999999888,0.075,4
170,G,25.049999999999887,0.075,5
171,G ^C ,25.124999999999886,0.15,4
172,G ^C ,25.274999999999885,0.075,4
173,^C G,25.349999999999884,0.075,4
174,C ^E ,25.424999999999883,0.09375,0
175,G ^E ^C ,25.524902343749883,0.056249999999999994,4
176,^C,25.574999999999882,0.075,4
177,G,25.64999999999988,0.075,5
178,^E,25.72499999999988,0.15,4
179,^C,25.87499999999988,0.075,5
180,G ^C ^E ,25.94999999999988,0.075,4
181,.G ^C B ,26.024999999999878,0.15,0
182,^C,26.174999999999876,0.15,5
183,.G ^F ,26.324999999999875,0.075,0
184,^E,26.399999999999874,0.075,4
185,^C B,26.474999999999874,0.075,4
186,B ^D G A ,26.549999999999873,0.075,4
187,^D,26.624999999999872,0.075,4
188,^D B,26.69999999999987,0.01875,4
189,G ^D B ^C ,26.72490234374987,0.056249999999999994,4
190,.G ^D B A ,26.77499999999987,0.056249999999999994,0
191,A G,26.82509765624987,0.01875,4
192,G F E,26.84999999999987,0.075,4
193,E D,26.92499999999987,0.075,4
194,C D,26.99999999999987,0.075,4
195,^D E F ,27.074999999999868,0.075,4
196,G A B ^D ,27.149999999999867,0.075,4
197,^D B G ,27.224999999999866,0.075,4
198,^D,27.299999999999866,0.01875,6
199,^C,27.324902343749866,0.056249999999999994,4
200,^F,27.374999999999865,0.056249999999999994,6
201,^G A,27.425097656249864,0.01875,4
202,^D A B,27.449999999999864,0.075,4
203,C ^E ^G A B ,27.524999999999864,0.075,0
204,^C A B,27.599999999999863,0.15,6
205,^D G,27.74999999999986,0.3,4
206,^C,28.04999999999986,0.22499999999999998,5
207,^E,28.274999999999856,0.075,5
208,E,28.349999999999856,0.3,0
209,C,28.649999999999856,0.6,0
210,C ^E,29.249999999999858,0.15,0
211,C,29.399999999999856,0.056249999999999994,0
212,^D,29.450097656249856,0.24375,5
213,C,29.699999999999854,0.15,0
214,F A,29.849999999999852,0.15,0
215,A C,29.99999999999985,0.15,4
216,A ^F ^C ,30.14999999999985,0.15,4
217,.A ^C ^F ^C ,30.299999999999848,0.075,0
218,^C,30.374999999999847,0.075,4
219,A,30.449999999999847,0.075,4
220,^C,30.524999999999846,0.075,4
221,A,30.599999999999845,0.075,4
222,^C,30.674999999999844,0.075,4
223,C ^F A A ,30.749999999999844,0.3,0
224,E ^C ^G ,31.04999999999984,0.15,4
225,G ^E,31.19999999999984,0.075,4
226,C,31.27499999999984,0.075,0
227,^C G,31.349999999999838,0.09375,4
228,C,31.449902343749837,0.056249999999999994,0
229,^E G,31.499999999999837,0.15,4
230,E ^C,31.649999999999835,0.15,0
231,^D,31.799999999999834,0.15,5
232,.G ^C ^E ,31.949999999999832,0.09375,0
233,^C,32.049902343749835,0.13125,5
234,.G ^D,32.17499999999984,0.075,0
235,G .B,32.249999999999844,0.15,4
236,B D,32.39999999999984,0.15,4
237,B ^D G G ,32.54999999999984,0.09375,4
238,^D G B ,32.649902343749844,0.056249999999999994,4
239,.B,32.69999999999985,0.075,0
240,^D,32.77499999999985,0.075,4
241,B,32.84999999999985,0.075,4
242,^D,32.924999999999855,0.075,4
243,B,32.99999999999986,0.075,4
244,^D B G,33.07499999999986,0.075,4
245,D B G G ,33.149999999999864,0.3,0
246,C E ,33.44999999999987,0.15,0
247,C E ,33.59999999999987,0.15,0
248,C G ^E ,33.74999999999988,0.09375,0
249,C,33.84990234374988,0.056249999999999994,0
250,^E,33.899999999999885,0.15,4
251,E ^C,34.04999999999989,0.075,4
252,.A,34.12499999999989,0.075,0
253,^D,34.199999999999896,0.15,5
254,.G ^C ^E ,34.349999999999895,0.09375,0
255,^C,34.4499023437499,0.13125,5
256,A,34.5749999999999,0.075,5
257,F .A,34.649999999999906,0.15,0
258,A C,34.799999999999905,0.15,4
259,F A ^C ,34.94999999999991,0.15,4
260,.A ^E ^C ^F ,35.099999999999916,0.075,0
261,^C,35.17499999999992,0.075,4
262,A,35.24999999999992,0.075,4
263,^C,35.324999999999925,0.01875,4
264,^D,35.349902343749925,0.056249999999999994,5
265,A,35.39999999999993,0.075,4
266,^C A,35.47499999999993,0.075,4
267,C A ^F F,35.54999999999993,0.09375,0
