0,Note,Time,Delay,Channel
1,.G E C,0,0.3,0
2,.G E C,0.3,0.3,0
3,E .G C,0.6,0.3,0
4,D .G F C,0.8999999999999999,0.3,0
5,C .G E,1.2,0.3,0
6,.G E C,1.5,0.8999999999999999,0
7,.G E C,2.4,0.15,0
8,.G E C,2.55,0.15,0
9,.G E C,2.6999999999999997,0.3,0
10,E .G C,2.9999999999999996,0.3,0
11,D .G F C,3.2999999999999994,0.3,0
12,C .G E,3.599999999999999,0.3,0
13,.A F,3.899999999999999,0.8999999999999999,0
14,.A F C ,4.799999999999999,0.3,0
15,.A F C ,5.099999999999999,0.3,0
16,F .A C,5.399999999999999,0.3,0
17,E .A C F,5.699999999999998,0.3,0
18,D .A F,5.999999999999998,0.3,0
19,.G F D,6.299999999999998,0.8999999999999999,0
20,.G F,7.1999999999999975,0.3,0
21,.A F,7.499999999999997,0.3,0
22,.G E,7.799999999999997,0.3,0
23,F .B D .G,8.099999999999998,0.3,0
24,D .B .G,8.399999999999999,0.3,0
25,E C .G ,8.7,0.8999999999999999,0
26,.G E C,9.6,0.3,0
27,.G E C,9.9,0.3,0
28,E .G C,10.200000000000001,0.3,0
29,D .G F C,10.500000000000002,0.3,0
30,C .G E,10.800000000000002,0.3,0
31,.G E C,11.100000000000003,0.8999999999999999,0
32,.G E C,12.000000000000004,0.15,0
33,.G E C,12.150000000000004,0.15,0
34,.G E C,12.300000000000004,0.3,0
35,E .G C,12.600000000000005,0.3,0
36,D .G F C,12.900000000000006,0.3,0
37,C .G E,13.200000000000006,0.3,0
38,.A F,13.500000000000007,0.8999999999999999,0
39,.A F C ,14.400000000000007,0.3,0
40,.A F C ,14.700000000000008,0.3,0
41,F .A C,15.000000000000009,0.3,0
42,E .A C F,15.30000000000001,0.3,0
43,D .A F,15.60000000000001,0.3,0
44,.G F D,15.900000000000011,0.3,0
45,.G F D,16.20000000000001,0.3,0
46,.G D,16.50000000000001,0.3,0
47,.G D,16.80000000000001,0.3,0
48,.A F,17.100000000000012,0.3,0
49,.G E,17.400000000000013,0.3,0
50,F .B D .G,17.700000000000014,0.3,0
51,D .B F .G,18.000000000000014,0.3,0
52,C E,18.300000000000015,0.6,0
53,.G,18.900000000000016,0.6,0
54,E C .G ,19.500000000000018,0.3,0
55,E C .G ,19.80000000000002,0.3,0
56,E C .G ,20.10000000000002,0.6,0
57,E C .G ,20.70000000000002,0.3,0
58,E C .G ,21.00000000000002,0.3,0
59,E C .G ,21.300000000000022,0.6,0
60,E C .G ,21.900000000000023,0.3,0
61,.G C E ,22.200000000000024,0.3,0
62,C .G E,22.500000000000025,0.44999999999999996,0
63,D .G F C,22.950000000000024,0.15,0
64,E C .G ,23.100000000000023,1.2,0
65,F .A C,24.300000000000026,0.3,0
66,F .A C,24.600000000000026,0.3,0
67,F .A C,24.900000000000027,0.44999999999999996,0
68,F .A C,25.350000000000026,0.15,0
69,F .A C,25.500000000000025,0.3,0
70,E .G C,25.800000000000026,0.3,0
71,E .G C,26.100000000000026,0.3,0
72,E C .G ,26.400000000000027,0.15,0
73,E C .G ,26.550000000000026,0.15,0
74,E C .A,26.700000000000024,0.3,0
75,D C .A,27.000000000000025,0.3,0
76,D C,27.300000000000026,0.3,0
77,E C D,27.600000000000026,0.3,0
78,D .B .G,27.900000000000027,0.6,0
79,.G F,28.50000000000003,0.6,0
80,E C .G ,29.10000000000003,0.3,0
81,E C .G ,29.40000000000003,0.3,0
82,E C .G ,29.70000000000003,0.6,0
83,E C .G ,30.300000000000033,0.3,0
84,E C .G ,30.600000000000033,0.3,0
85,E C .G ,30.900000000000034,0.6,0
86,E C .G ,31.500000000000036,0.3,0
87,.G C E ,31.800000000000036,0.3,0
88,C .G E,32.10000000000004,0.44999999999999996,0
89,D .G F C,32.55000000000004,0.15,0
90,E C .G ,32.70000000000004,1.2,0
91,F .A C,33.90000000000004,0.3,0
92,F .A C,34.20000000000004,0.3,0
93,F .A C,34.500000000000036,0.44999999999999996,0
94,F .A C,34.95000000000004,0.15,0
95,F .A C,35.10000000000004,0.3,0
96,E .G C,35.400000000000034,0.3,0
97,E .G C,35.70000000000003,0.3,0
98,E C .G ,36.00000000000003,0.15,0
99,E C .G ,36.15000000000003,0.15,0
100,.G,36.300000000000026,0.3,0
101,.G,36.60000000000002,0.3,0
102,F .B D .G,36.90000000000002,0.3,0
103,D .B F .G,37.20000000000002,0.3,0
104,C E,37.500000000000014,0.0,0
