0,Note,Time,Delay,Channel
1,C,0,0.631579,0
2,C,0.631579,0.631579,0
3,G,1.263158,0.631579,0
4,G,1.894737,0.631579,0
5,A,2.526316,0.631579,0
6,A,3.157895,0.631579,0
7,G,3.789474,1.263158,0
8,F ,5.052632,0.631579,0
9,F,5.684211,0.631579,0
10,E ,6.31579,0.631579,0
11,E,6.947369,0.631579,0
12,D,7.578948,0.631579,0
13,D,8.210527,0.631579,0
14,C,8.842106,1.263158,0
15,G,10.105264,0.631579,0
16,G,10.736843,0.631579,0
17,F,11.368422,0.631579,0
18,F,12.000001,0.631579,0
19,E,12.63158,0.631579,0
20,E,13.263159,0.631579,0
21,D,13.894738,1.263158,0
22,G,15.157896,0.631579,0
23,G,15.789475,0.631579,0
24,F,16.421054,0.631579,0
25,F,17.052633,0.631579,0
26,E,17.684212,0.631579,0
27,E,18.315791,0.631579,0
28,D,18.94737,1.263158,0
