0,Note,Time,Delay,Channel
1,.G,1.375,0.125,0
2,D,1.5,0.625,0
3,C .B,2.125,0.53125,0
4,.A,2.66650390625,0.09375,0
5,.G,3.25,0.125,0
6,.B,4.5,0.125,0
7,C,4.625,0.03125,0
8,C,4.66650390625,0.34375,0
9,.B,5.0,0.25,0
10,C,5.25,0.5,0
11,.B,5.75,0.125,0
12,C,5.875,1.125,0
13,.A,7.0,0.625,0
14,.A,7.625,0.03125,0
15,.A,8.125,0.21875,0
16,.B,9.5,0.125,0
17,C,9.625,0.375,0
18,D,10.125,0.5,0
19,D,10.625,1.375,0
20,.B,12.0,0.5,0
21,.A,12.5,0.125,0
22,.G,13.125,0.03125,0
23,C,14.16650390625,0.59375,0
24,.B,14.75,0.0,0
