0,Note,Time,Delay,Channel
1,C E,0,0.631579,0
2,C,0.631579,0.631579,0
3,G C,1.263158,0.631579,0
4,G,1.8947370000000001,0.631579,0
5,A C F,2.526316,0.631579,0
6,A,3.157895,0.631579,0
7,G C,3.789474,1.263158,0
8,F .A,5.052632,0.631579,0
9,F,5.684211,0.631579,0
10,E .G C,6.315790000000001,0.631579,0
11,E,6.947369000000001,0.631579,0
12,D .G,7.578948000000001,0.631579,0
13,D,8.210527,0.631579,0
14,C E,8.842106000000001,1.263158,0
15,G C,10.105264000000002,0.631579,0
16,G,10.736843000000002,0.631579,0
17,F .A,11.368422000000002,0.631579,0
18,F,12.000001000000003,0.631579,0
19,E .G,12.631580000000003,0.631579,0
20,E,13.263159000000003,0.631579,0
21,D .G,13.894738000000004,1.263158,0
22,G C,15.157896000000004,0.631579,0
23,G,15.789475000000005,0.631579,0
24,F .A,16.421054000000005,0.631579,0
25,F,17.052633000000004,0.631579,0
26,E .G,17.684212000000002,0.631579,0
27,E,18.315791,0.631579,0
28,D .G,18.94737,1.263158,0
29,C E,20.210528,0.631579,0
30,C,20.842107,0.631579,0
31,G C,21.473685999999997,0.631579,0
32,G,22.105264999999996,0.631579,0
33,A C F,22.736843999999994,0.631579,0
34,A,23.368422999999993,0.631579,0
35,G C,24.00000199999999,1.263158,0
36,F .A,25.263159999999992,0.631579,0
37,F,25.89473899999999,0.631579,0
38,E .G C,26.52631799999999,0.631579,0
39,E,27.157896999999988,0.631579,0
40,D .G,27.789475999999986,0.631579,0
41,D,28.421054999999985,0.631579,0
42,C E,29.052633999999983,0.0,0
